WorkerId,Input.code,Answer.best_redun
worker_083,577#1#0,A
worker_123,577#1#0,A
worker_130,577#1#0,A
worker_045,577#0#2,A
worker_055,577#0#2,B
worker_183,577#0#2,A
worker_045,577#3#0,A
worker_081,577#3#0,B
worker_170,577#3#0,B
worker_063,577#4#0,A
worker_174,577#4#0,A
worker_191,577#4#0,B
worker_028,577#1#2,B
worker_044,577#1#2,B
worker_212,577#1#2,B
worker_083,577#1#3,A
worker_121,577#1#3,A
worker_183,577#1#3,B
worker_045,577#4#1,B
worker_054,577#4#1,A
worker_155,577#4#1,A
worker_045,577#3#2,B
worker_083,577#3#2,A
worker_212,577#3#2,A
worker_123,577#2#4,A
worker_130,577#2#4,B
worker_212,577#2#4,A
worker_089,577#4#3,A
worker_123,577#4#3,B
worker_212,577#4#3,A
worker_049,172#1#0,A
worker_170,172#1#0,A
worker_191,172#1#0,B
worker_021,172#0#2,A
worker_130,172#0#2,B
worker_180,172#0#2,B
worker_055,172#0#3,A
worker_130,172#0#3,B
worker_212,172#0#3,A
worker_130,172#4#0,B
worker_191,172#4#0,A
worker_082,172#1#2,A
worker_174,172#1#2,B
worker_212,172#1#2,B
worker_130,172#1#3,B
worker_170,172#1#3,A
worker_191,172#1#3,A
worker_028,172#1#4,B
worker_183,172#1#4,B
worker_191,172#1#4,B
worker_045,172#3#2,B
worker_055,172#3#2,B
worker_174,172#3#2,B
worker_049,172#4#2,B
worker_188,172#4#2,A
worker_212,172#4#2,A
worker_089,172#4#3,A
worker_140,172#4#3,A
worker_191,172#4#3,A
worker_130,394#1#0,A
worker_183,394#1#0,B
worker_191,394#1#0,B
worker_140,394#0#2,B
worker_154,394#0#2,A
worker_171,394#0#2,B
worker_081,394#3#0,B
worker_089,394#3#0,B
worker_170,394#3#0,A
worker_089,394#0#4,A
worker_130,394#0#4,B
worker_174,394#0#4,A
worker_090,394#2#1,B
worker_140,394#2#1,A
worker_180,394#2#1,A
worker_007,394#3#1,A
worker_130,394#3#1,A
worker_140,394#3#1,A
worker_123,394#1#4,A
worker_191,394#1#4,B
worker_212,394#1#4,A
worker_045,394#2#3,A
worker_123,394#2#3,A
worker_130,394#2#3,B
worker_054,394#2#4,A
worker_082,394#2#4,A
worker_191,394#2#4,B
worker_055,394#3#4,A
worker_191,394#3#4,B
worker_212,394#3#4,A
worker_028,259#1#0,B
worker_049,259#1#0,A
worker_183,259#1#0,A
worker_049,259#0#2,B
worker_101,259#0#2,B
worker_170,259#0#2,A
worker_028,259#3#0,A
worker_055,259#3#0,B
worker_191,259#3#0,B
worker_045,259#4#0,A
worker_055,259#4#0,B
worker_113,259#4#0,A
worker_130,259#2#1,B
worker_170,259#2#1,B
worker_183,259#2#1,B
worker_045,259#1#3,A
worker_130,259#1#3,B
worker_212,259#1#3,B
worker_057,259#4#1,B
worker_141,259#4#1,B
worker_155,259#4#1,A
worker_045,259#2#3,B
worker_191,259#2#3,B
worker_212,259#2#3,A
worker_049,259#4#2,A
worker_123,259#4#2,B
worker_191,259#4#2,B
worker_113,259#4#3,B
worker_155,259#4#3,B
worker_198,259#4#3,A
worker_082,643#1#0,A
worker_130,643#1#0,A
worker_171,643#1#0,B
worker_090,643#0#2,A
worker_130,643#0#2,B
worker_212,643#0#2,A
worker_130,643#0#3,B
worker_183,643#0#3,A
worker_212,643#0#3,B
worker_050,643#4#0,A
worker_083,643#4#0,B
worker_091,643#4#0,A
worker_045,643#2#1,B
worker_130,643#2#1,A
worker_212,643#2#1,B
worker_049,643#1#3,B
worker_066,643#1#3,A
worker_090,643#1#3,A
worker_113,643#1#4,B
worker_171,643#1#4,A
worker_197,643#1#4,B
worker_123,643#2#3,B
worker_130,643#2#3,B
worker_191,643#2#3,B
worker_045,643#2#4,B
worker_062,643#2#4,B
worker_191,643#2#4,B
worker_044,643#3#4,B
worker_051,643#3#4,A
worker_140,643#3#4,B
worker_029,256#1#0,A
worker_061,256#1#0,A
worker_146,256#1#0,B
worker_049,256#2#0,B
worker_153,256#2#0,A
worker_192,256#2#0,A
worker_046,256#0#3,B
worker_049,256#0#3,A
worker_186,256#0#3,B
worker_130,256#0#4,A
worker_183,256#0#4,B
worker_207,256#0#4,A
worker_060,256#1#2,B
worker_080,256#1#2,A
worker_113,256#1#2,B
worker_084,256#3#1,A
worker_112,256#3#1,A
worker_172,256#3#1,B
worker_153,256#4#1,B
worker_172,256#4#1,B
worker_192,256#4#1,B
worker_033,256#2#3,A
worker_079,256#2#3,A
worker_172,256#2#3,B
worker_130,256#2#4,B
worker_144,256#2#4,B
worker_153,256#2#4,B
worker_070,256#3#4,B
worker_171,256#3#4,B
worker_202,256#3#4,A
worker_067,126#0#1,B
worker_170,126#0#1,A
worker_191,126#0#1,A
worker_000,126#0#2,B
worker_104,126#0#2,B
worker_158,126#0#2,B
worker_082,126#3#0,A
worker_172,126#3#0,B
worker_190,126#3#0,A
worker_015,126#4#0,A
worker_072,126#4#0,A
worker_146,126#4#0,B
worker_014,126#1#2,A
worker_029,126#1#2,A
worker_055,126#1#2,A
worker_082,126#1#3,B
worker_108,126#1#3,A
worker_168,126#1#3,A
worker_022,126#1#4,A
worker_055,126#1#4,A
worker_172,126#1#4,B
worker_171,126#3#2,B
worker_172,126#3#2,B
worker_191,126#3#2,A
worker_022,126#4#2,A
worker_029,126#4#2,B
worker_153,126#4#2,A
worker_029,126#4#3,A
worker_070,126#4#3,B
worker_111,126#4#3,B
worker_038,390#0#1,A
worker_067,390#0#1,A
worker_153,390#0#1,B
worker_172,390#0#2,B
worker_180,390#0#2,A
worker_191,390#0#2,A
worker_014,390#3#0,A
worker_046,390#3#0,A
worker_130,390#3#0,B
worker_029,390#4#0,A
worker_146,390#4#0,A
worker_197,390#4#0,B
worker_172,390#1#2,A
worker_190,390#1#2,A
worker_191,390#1#2,B
worker_046,390#3#1,B
worker_171,390#3#1,B
worker_172,390#3#1,B
worker_091,390#4#1,B
worker_172,390#4#1,B
worker_188,390#4#1,A
worker_144,390#3#2,A
worker_147,390#3#2,B
worker_168,390#3#2,A
worker_168,390#2#4,B
worker_172,390#2#4,A
worker_197,390#2#4,B
worker_029,390#4#3,A
worker_172,390#4#3,A
worker_183,390#4#3,B
worker_168,418#0#1,B
worker_172,418#0#1,B
worker_211,418#0#1,B
worker_087,418#0#2,B
worker_131,418#0#2,B
worker_197,418#0#2,B
worker_012,418#0#3,A
worker_029,418#0#3,A
worker_172,418#0#3,A
worker_003,418#4#0,B
worker_046,418#4#0,B
worker_172,418#4#0,B
worker_038,418#2#1,B
worker_151,418#2#1,B
worker_172,418#2#1,B
worker_108,418#1#3,A
worker_121,418#1#3,B
worker_172,418#1#3,A
worker_002,418#1#4,A
worker_143,418#1#4,A
worker_146,418#2#3,B
worker_153,418#2#3,A
worker_172,418#2#3,A
worker_104,418#2#4,B
worker_144,418#2#4,A
worker_172,418#2#4,A
worker_029,418#3#4,A
worker_108,418#3#4,B
worker_122,418#3#4,A
worker_130,407#0#1,B
worker_144,407#0#1,A
worker_206,407#0#1,B
worker_046,407#2#0,B
worker_108,407#2#0,B
worker_172,407#2#0,B
worker_014,407#3#0,B
worker_108,407#3#0,B
worker_130,407#3#0,A
worker_029,407#0#4,B
worker_122,407#0#4,B
worker_131,407#0#4,A
worker_136,407#1#2,A
worker_144,407#1#2,A
worker_172,407#1#2,A
worker_030,407#1#3,B
worker_156,407#1#3,A
worker_207,407#1#3,A
worker_146,407#1#4,B
worker_168,407#1#4,A
worker_012,407#3#2,A
worker_104,407#3#2,A
worker_172,407#3#2,A
worker_172,407#2#4,B
worker_184,407#2#4,B
worker_045,407#4#3,A
worker_172,407#4#3,A
worker_186,407#4#3,A
worker_029,204#1#0,A
worker_060,204#1#0,A
worker_131,204#1#0,A
worker_001,204#2#0,B
worker_043,204#2#0,B
worker_087,204#2#0,B
worker_162,204#0#3,B
worker_190,204#0#3,B
worker_215,204#0#3,A
worker_171,204#0#4,B
worker_203,204#0#4,A
worker_207,204#0#4,A
worker_002,204#2#1,B
worker_190,204#2#1,B
worker_215,204#2#1,B
worker_104,204#1#3,A
worker_131,204#1#3,A
worker_162,204#1#3,A
worker_043,204#1#4,A
worker_190,204#1#4,A
worker_207,204#1#4,A
worker_029,204#3#2,A
worker_073,204#3#2,A
worker_113,204#3#2,B
worker_025,204#4#2,A
worker_060,204#4#2,A
worker_161,204#4#2,B
worker_014,204#4#3,A
worker_043,204#4#3,B
worker_082,204#4#3,A
worker_001,606#0#1,B
worker_043,606#0#1,A
worker_215,606#0#1,B
worker_014,606#0#2,A
worker_139,606#0#2,B
worker_190,606#0#2,A
worker_104,606#3#0,B
worker_203,606#3#0,B
worker_215,606#3#0,B
worker_001,606#0#4,A
worker_014,606#0#4,B
worker_190,606#0#4,B
worker_082,606#1#2,A
worker_115,606#1#2,A
worker_162,606#1#2,A
worker_014,606#3#1,B
worker_029,606#3#1,B
worker_131,606#3#1,B
worker_014,606#4#1,B
worker_043,606#4#1,A
worker_047,606#4#1,B
worker_122,606#3#2,B
worker_162,606#3#2,A
worker_171,606#3#2,B
worker_104,606#2#4,B
worker_151,606#2#4,B
worker_215,606#2#4,B
worker_000,606#4#3,A
worker_104,606#4#3,A
worker_159,606#4#3,A
worker_029,654#1#0,A
worker_043,654#1#0,A
worker_113,654#1#0,A
worker_085,654#0#2,B
worker_136,654#0#2,A
worker_207,654#0#2,A
worker_087,654#0#3,B
worker_203,654#0#3,A
worker_215,654#0#3,A
worker_131,654#0#4,A
worker_190,654#0#4,A
worker_215,654#0#4,A
worker_029,654#1#2,A
worker_082,654#1#2,A
worker_109,654#1#2,A
worker_082,654#3#1,B
worker_131,654#3#1,B
worker_162,654#3#1,B
worker_131,654#1#4,A
worker_162,654#1#4,A
worker_190,654#1#4,A
worker_029,654#3#2,A
worker_082,654#3#2,B
worker_087,654#3#2,A
worker_043,654#2#4,B
worker_058,654#2#4,A
worker_171,654#2#4,A
worker_087,654#3#4,B
worker_104,654#3#4,B
worker_190,654#3#4,B
worker_087,55#0#1,B
worker_108,55#0#1,B
worker_190,55#0#1,B
worker_042,55#2#0,B
worker_120,55#2#0,B
worker_171,55#2#0,B
worker_104,55#0#3,B
worker_131,55#0#3,B
worker_162,55#0#3,B
worker_171,55#4#0,A
worker_190,55#4#0,A
worker_124,55#2#1,B
worker_171,55#2#1,B
worker_215,55#2#1,B
worker_014,55#3#1,B
worker_043,55#3#1,B
worker_087,55#3#1,B
worker_002,55#1#4,A
worker_104,55#1#4,A
worker_162,55#1#4,A
worker_082,55#3#2,A
worker_104,55#3#2,A
worker_190,55#3#2,A
worker_043,55#2#4,B
worker_209,55#2#4,A
worker_215,55#2#4,B
worker_104,55#4#3,A
worker_131,55#4#3,B
worker_175,55#4#3,B
worker_014,538#0#1,B
worker_029,538#0#1,B
worker_060,538#0#1,A
worker_082,538#0#2,A
worker_087,538#0#2,B
worker_162,538#0#2,B
worker_082,538#3#0,B
worker_107,538#3#0,B
worker_215,538#3#0,B
worker_078,538#4#0,A
worker_087,538#4#0,A
worker_144,538#4#0,A
worker_171,538#1#2,A
worker_203,538#1#2,A
worker_207,538#1#2,B
worker_029,538#1#3,A
worker_190,538#1#3,A
worker_203,538#1#3,A
worker_029,538#1#4,A
worker_162,538#1#4,A
worker_171,538#1#4,A
worker_037,538#3#2,B
worker_215,538#3#2,B
worker_054,538#2#4,A
worker_203,538#2#4,A
worker_215,538#2#4,A
worker_082,538#4#3,A
worker_104,538#4#3,A
worker_014,717#2#3,B
worker_099,717#2#3,B
worker_104,717#2#3,A
worker_082,666#4#0,B
worker_168,666#4#0,B
worker_203,666#4#0,B
worker_127,447#4#3,B
worker_146,447#4#3,B
worker_196,447#4#3,B
worker_029,717#3#1,B
worker_060,717#3#1,B
worker_191,717#3#1,A
worker_029,87#3#1,A
worker_186,87#3#1,B
worker_191,87#3#1,A
worker_046,447#3#0,A
worker_144,447#3#0,B
worker_207,447#3#0,A
worker_038,666#3#1,B
worker_082,666#3#1,B
worker_191,666#3#1,B
worker_016,666#0#3,A
worker_034,666#0#3,B
worker_191,666#0#3,A
worker_104,717#0#4,A
worker_110,717#0#4,A
worker_186,717#0#4,A
worker_014,717#1#4,A
worker_029,717#1#4,B
worker_215,717#1#4,A
worker_029,666#3#2,A
worker_082,666#3#2,A
worker_215,666#3#2,A
worker_105,666#4#2,A
worker_186,666#4#2,B
worker_215,666#4#2,B
worker_082,534#1#2,A
worker_131,534#1#2,A
worker_191,534#1#2,B
worker_000,717#0#3,A
worker_082,717#0#3,A
worker_117,717#0#3,A
worker_029,447#1#3,A
worker_100,447#1#3,B
worker_146,447#1#3,A
worker_131,534#1#0,A
worker_144,534#1#0,A
worker_203,534#1#0,A
worker_029,534#0#3,A
worker_104,534#0#3,A
worker_129,534#0#3,A
worker_038,666#1#2,A
worker_110,666#1#2,A
worker_191,666#1#2,A
worker_037,717#0#1,A
worker_082,717#0#1,B
worker_191,717#0#1,A
worker_003,717#1#2,A
worker_082,717#1#2,A
worker_215,717#1#2,A
worker_022,447#4#2,A
worker_029,447#4#2,A
worker_104,447#4#2,A
worker_131,666#1#4,A
worker_171,666#1#4,A
worker_191,666#1#4,B
worker_104,534#4#0,A
worker_127,534#4#0,B
worker_204,534#4#0,A
worker_014,447#0#4,B
worker_164,447#0#4,B
worker_187,447#0#4,B
worker_001,534#2#3,A
worker_014,534#2#3,A
worker_082,534#2#3,A
worker_014,717#2#0,B
worker_127,717#2#0,B
worker_131,717#2#0,B
worker_014,534#3#4,B
worker_082,534#3#4,B
worker_215,534#3#4,A
worker_104,717#4#3,A
worker_146,717#4#3,A
worker_191,717#4#3,A
worker_014,87#1#2,A
worker_128,87#1#2,A
worker_207,87#1#2,A
worker_104,717#2#4,B
worker_146,717#2#4,B
worker_207,717#2#4,B
worker_029,87#3#4,A
worker_104,87#3#4,A
worker_207,87#3#4,A
worker_131,447#2#3,A
worker_186,447#2#3,A
worker_191,447#2#3,B
worker_038,87#4#2,A
worker_171,87#4#2,B
worker_207,87#4#2,A
worker_029,534#4#2,B
worker_207,534#4#2,B
worker_215,534#4#2,B
worker_029,87#2#3,B
worker_186,87#2#3,B
worker_190,87#2#3,B
worker_052,87#1#4,B
worker_104,87#1#4,A
worker_154,87#1#4,A
worker_104,447#0#1,B
worker_186,447#0#1,B
worker_191,447#0#1,A
worker_046,447#0#2,B
worker_082,447#0#2,B
worker_207,447#0#2,A
worker_000,666#0#1,B
worker_186,666#0#1,B
worker_203,666#0#1,B
worker_014,87#0#1,B
worker_104,87#0#1,B
worker_191,87#0#1,A
worker_029,87#2#0,B
worker_037,87#2#0,B
worker_043,87#2#0,B
worker_014,87#4#0,B
worker_029,87#4#0,B
worker_191,87#4#0,A
worker_014,447#1#4,A
worker_146,447#1#4,A
worker_186,447#1#4,A
worker_082,87#0#3,B
worker_127,87#0#3,A
worker_186,87#0#3,B
worker_029,534#1#3,B
worker_191,534#1#3,B
worker_032,447#2#1,B
worker_144,447#2#1,B
worker_168,447#2#1,B
worker_082,666#3#4,A
worker_131,666#3#4,A
worker_144,666#3#4,A
worker_037,534#0#2,A
worker_092,534#0#2,B
worker_104,534#0#2,A
worker_088,666#0#2,A
worker_104,666#0#2,A
worker_165,666#0#2,B
worker_014,534#4#1,B
worker_119,534#4#1,A
worker_168,534#4#1,B
